Owner,Repo,GHSA ID,CVE ID,Severity,CWEs,Description,References,Commit Link Numbers,Commit Links
django,django,GHSA-rrqc-c2jx-6jgv,CVE-2024-45231,medium,"CWE-203, CWE-204","An issue was discovered in Django v5.1.1, v5.0.9, and v4.2.16. The django.contrib.auth.forms.PasswordResetForm class, when used in a view implementing password reset flows, allows remote attackers to enumerate user e-mail addresses by sending password reset requests and observing the outcome (only when e-mail sending is consistently failing).","['https://nvd.nist.gov/vuln/detail/CVE-2024-45231', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/sep/03/security-releases', 'https://github.com/django/django/commit/3c733c78d6f8e50296d6e248968b6516c92a53ca', 'https://github.com/django/django/commit/96d84047715ea1715b4bd1594e46122b8a77b9e2', 'https://github.com/django/django/commit/bf4888d317ba4506d091eeac6e8b4f1fcc731199', 'https://github.com/advisories/GHSA-rrqc-c2jx-6jgv']",3,"['https://github.com/django/django/commit/3c733c78d6f8e50296d6e248968b6516c92a53ca', 'https://github.com/django/django/commit/96d84047715ea1715b4bd1594e46122b8a77b9e2', 'https://github.com/django/django/commit/bf4888d317ba4506d091eeac6e8b4f1fcc731199']"
django,django,GHSA-5hgc-2vfp-mqvc,CVE-2024-45230,medium,"CWE-120, CWE-400","An issue was discovered in Django 5.1 before 5.1.1, 5.0 before 5.0.9, and 4.2 before 4.2.16. The urlize() and urlizetrunc() template filters are subject to a potential denial-of-service attack via very large inputs with a specific sequence of characters.","['https://nvd.nist.gov/vuln/detail/CVE-2024-45230', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/sep/03/security-releases', 'https://github.com/django/django/commit/022ab0a75c76ab2ea31dfcc5f2cf5501e378d397', 'https://github.com/django/django/commit/813de2672bd7361e9a453ab62cd6e52f96b6525b', 'https://github.com/django/django/commit/d147a8ebbdf28c17cafbbe2884f0bc57e2bf82e2', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-102.yaml', 'https://github.com/advisories/GHSA-5hgc-2vfp-mqvc']",3,"['https://github.com/django/django/commit/022ab0a75c76ab2ea31dfcc5f2cf5501e378d397', 'https://github.com/django/django/commit/813de2672bd7361e9a453ab62cd6e52f96b6525b', 'https://github.com/django/django/commit/d147a8ebbdf28c17cafbbe2884f0bc57e2bf82e2']"
django,django,GHSA-pv4p-cwwg-4rph,CVE-2024-42005,critical,CWE-89,An issue was discovered in Django 5.0 before 5.0.8 and 4.2 before 4.2.15. QuerySet.values() and values_list() methods on models with a JSONField are subject to SQL injection in column aliases via a crafted JSON object key as a passed *arg.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-42005', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://www.djangoproject.com/weblog/2024/aug/06/security-releases', 'https://github.com/django/django/commit/32ebcbf2e1fe3e5ba79a6554a167efce81f7422d', 'https://github.com/django/django/commit/f4af67b9b41e0f4c117a8741da3abbd1c869ab28', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-70.yaml', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://github.com/advisories/GHSA-pv4p-cwwg-4rph']",2,"['https://github.com/django/django/commit/32ebcbf2e1fe3e5ba79a6554a167efce81f7422d', 'https://github.com/django/django/commit/f4af67b9b41e0f4c117a8741da3abbd1c869ab28']"
django,django,GHSA-jh75-99hh-qvx9,CVE-2024-41989,medium,CWE-400,An issue was discovered in Django 5.0 before 5.0.8 and 4.2 before 4.2.15. The floatformat template filter is subject to significant memory consumption when given a string representation of a number in scientific notation with a large exponent.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-41989', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://www.djangoproject.com/weblog/2024/aug/06/security-releases', 'https://github.com/django/django/commit/27900fe56f3d3cabb4aeb6ccb82f92bab29073a8', 'https://github.com/django/django/commit/fc76660f589ac07e45e9cd34ccb8087aeb11904b', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-67.yaml', 'https://github.com/advisories/GHSA-jh75-99hh-qvx9']",2,"['https://github.com/django/django/commit/27900fe56f3d3cabb4aeb6ccb82f92bab29073a8', 'https://github.com/django/django/commit/fc76660f589ac07e45e9cd34ccb8087aeb11904b']"
django,django,GHSA-795c-9xpc-xw6g,CVE-2024-41990,medium,CWE-130,An issue was discovered in Django 5.0 before 5.0.8 and 4.2 before 4.2.15. The urlize() and urlizetrunc() template filters are subject to a potential denial-of-service attack via very large inputs with a specific sequence of characters.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-41990', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://www.djangoproject.com/weblog/2024/aug/06/security-releases', 'https://github.com/django/django/commit/7b7b909579c8311c140c89b8a9431bf537febf93', 'https://github.com/django/django/commit/d0a82e26a74940bf0c78204933c3bdd6a283eb88', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-68.yaml', 'https://github.com/advisories/GHSA-795c-9xpc-xw6g']",2,"['https://github.com/django/django/commit/7b7b909579c8311c140c89b8a9431bf537febf93', 'https://github.com/django/django/commit/d0a82e26a74940bf0c78204933c3bdd6a283eb88']"
django,django,GHSA-r836-hh6v-rg5g,CVE-2024-41991,medium,"CWE-130, CWE-1284, CWE-1333","An issue was discovered in Django 5.0 before 5.0.8 and 4.2 before 4.2.15. The urlize and urlizetrunc template filters, and the AdminURLFieldWidget widget, are subject to a potential denial-of-service attack via certain inputs with a very large number of Unicode characters.","['https://nvd.nist.gov/vuln/detail/CVE-2024-41991', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/aug/06/security-releases', 'https://github.com/django/django/commit/523da8771bce321023f490f70d71a9e973ddc927', 'https://github.com/django/django/commit/efea1ef7e2190e3f77ca0651b5458297bc0f6a9f', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-69.yaml', 'https://github.com/advisories/GHSA-r836-hh6v-rg5g']",2,"['https://github.com/django/django/commit/523da8771bce321023f490f70d71a9e973ddc927', 'https://github.com/django/django/commit/efea1ef7e2190e3f77ca0651b5458297bc0f6a9f']"
django,django,GHSA-f6f8-9mx6-9mx2,CVE-2024-39614,high,"CWE-130, CWE-770",An issue was discovered in Django 5.0 before 5.0.7 and 4.2 before 4.2.14. `get_supported_language_variant()` was subject to a potential denial-of-service attack when used with very long strings containing specific characters.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-39614', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/jul/09/security-releases', 'https://github.com/django/django/commit/17358fb35fb7217423d4c4877ccb6d1a3a40b1c3', 'https://github.com/django/django/commit/8e7a44e4bec0f11474699c3111a5e0a45afe7f49', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-59.yaml', 'https://github.com/advisories/GHSA-f6f8-9mx6-9mx2']",2,"['https://github.com/django/django/commit/17358fb35fb7217423d4c4877ccb6d1a3a40b1c3', 'https://github.com/django/django/commit/8e7a44e4bec0f11474699c3111a5e0a45afe7f49']"
django,django,GHSA-9jmf-237g-qf46,CVE-2024-39330,high,CWE-22,"An issue was discovered in Django 5.0 before 5.0.7 and 4.2 before 4.2.14. Derived classes of the `django.core.files.storage.Storage` base class, when they override `generate_filename()` without replicating the file-path validations from the parent class, potentially allow directory traversal via certain inputs during a `save()` call. (Built-in Storage sub-classes are unaffected.)","['https://nvd.nist.gov/vuln/detail/CVE-2024-39330', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/jul/09/security-releases', 'https://github.com/django/django/commit/2b00edc0151a660d1eb86da4059904a0fc4e095e', 'https://github.com/django/django/commit/9f4f63e9ebb7bf6cb9547ee4e2526b9b96703270', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-58.yaml', 'https://github.com/advisories/GHSA-9jmf-237g-qf46']",2,"['https://github.com/django/django/commit/2b00edc0151a660d1eb86da4059904a0fc4e095e', 'https://github.com/django/django/commit/9f4f63e9ebb7bf6cb9547ee4e2526b9b96703270']"
django,django,GHSA-x7q2-wr7g-xqmf,CVE-2024-39329,medium,CWE-208,An issue was discovered in Django 5.0 before 5.0.7 and 4.2 before 4.2.14. The `django.contrib.auth.backends.ModelBackend.authenticate()` method allows remote attackers to enumerate users via a timing attack involving login requests for users with an unusable password.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-39329', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/jul/09/security-releases', 'https://github.com/django/django/commit/07cefdee4a9d1fcd9a3a631cbd07c78defd1923b', 'https://github.com/django/django/commit/156d3186c96e3ec2ca73b8b25dc2ef366e38df14', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-57.yaml', 'https://github.com/advisories/GHSA-x7q2-wr7g-xqmf']",2,"['https://github.com/django/django/commit/07cefdee4a9d1fcd9a3a631cbd07c78defd1923b', 'https://github.com/django/django/commit/156d3186c96e3ec2ca73b8b25dc2ef366e38df14']"
django,django,GHSA-qg2p-9jwr-mmqf,CVE-2024-38875,high,"CWE-130, CWE-770",An issue was discovered in Django 4.2 before 4.2.14 and 5.0 before 5.0.7. urlize and urlizetrunc were subject to a potential denial of service attack via certain inputs with a very large number of brackets.,"['https://nvd.nist.gov/vuln/detail/CVE-2024-38875', 'https://docs.djangoproject.com/en/dev/releases/security', 'https://groups.google.com/forum/#%21forum/django-announce', 'https://www.djangoproject.com/weblog/2024/jul/09/security-releases', 'https://github.com/django/django/commit/7285644640f085f41d60ab0c8ae4e9153f0485db', 'https://github.com/django/django/commit/79f368764295df109a37192f6182fb6f361d85b5', 'https://github.com/pypa/advisory-database/tree/main/vulns/django/PYSEC-2024-56.yaml', 'https://github.com/advisories/GHSA-qg2p-9jwr-mmqf']",2,"['https://github.com/django/django/commit/7285644640f085f41d60ab0c8ae4e9153f0485db', 'https://github.com/django/django/commit/79f368764295df109a37192f6182fb6f361d85b5']"
