First Hash,Second Hash,Commit Message,Contains Issue Reference
505826b469b16ab36693360da9e11fd13213421b,eb94e7ad6bab5da085890ec4238b7d58f48c3cf7,"[3.0.x] Added stub release notes for 3.0.3.

Backport of 69331bb851c34f05bc77e9fc24020fe6908b9cd5 from master",False
505826b469b16ab36693360da9e11fd13213421b,96199e562dcc409ab4bdc2b2146fa7cf73c7c5fe,Fixed #26067 -- Added ordering support to ArrayAgg and StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,df8412d2e5c95fe8c8238ebde8e0dbb68fe2ec1d,Fixed #26617 -- Added distinct argument to contrib.postgres's StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,b5393028bfc939adf14d0fa5e4088cddd3b9dfa1,Fixed #27767 -- Added distinct argument to ArrayAgg.,False
505826b469b16ab36693360da9e11fd13213421b,e4cf8c8420634d6f2dc8ce873246256ce635972d,Fixed #24301 -- Added PostgreSQL-specific aggregate functions,False
505826b469b16ab36693360da9e11fd13213421b,df8412d2e5c95fe8c8238ebde8e0dbb68fe2ec1d,Fixed #26617 -- Added distinct argument to contrib.postgres's StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,b5393028bfc939adf14d0fa5e4088cddd3b9dfa1,Fixed #27767 -- Added distinct argument to ArrayAgg.,False
505826b469b16ab36693360da9e11fd13213421b,d6eaf7c0183cd04b78f2a55e1d60bb7e59598310,"Refs #23919 -- Replaced super(ClassName, self) with super().",False
505826b469b16ab36693360da9e11fd13213421b,e4cf8c8420634d6f2dc8ce873246256ce635972d,Fixed #24301 -- Added PostgreSQL-specific aggregate functions,False
505826b469b16ab36693360da9e11fd13213421b,df8412d2e5c95fe8c8238ebde8e0dbb68fe2ec1d,Fixed #26617 -- Added distinct argument to contrib.postgres's StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,b5393028bfc939adf14d0fa5e4088cddd3b9dfa1,Fixed #27767 -- Added distinct argument to ArrayAgg.,False
505826b469b16ab36693360da9e11fd13213421b,e4cf8c8420634d6f2dc8ce873246256ce635972d,Fixed #24301 -- Added PostgreSQL-specific aggregate functions,False
505826b469b16ab36693360da9e11fd13213421b,df8412d2e5c95fe8c8238ebde8e0dbb68fe2ec1d,Fixed #26617 -- Added distinct argument to contrib.postgres's StringAgg.,False
505826b469b16ab36693360da9e11fd13213421b,b5393028bfc939adf14d0fa5e4088cddd3b9dfa1,Fixed #27767 -- Added distinct argument to ArrayAgg.,False
